Delta (ms),Sorting time (s),Server response time (s),Client response time (s)
300,3.9971666666666663,3.9971916666666667,4.063108333333333
900,3.6432249999999997,3.6433833333333334,3.7323416666666667
1500,3.37705,3.3770666666666664,3.4427916666666665
2100,3.040375,3.0404,3.1028583333333333
2700,2.8483416666666668,2.8484083333333334,2.942258333333333
3300,2.6521,2.652133333333333,2.7178833333333334
3900,2.6136,2.613608333333333,2.7483166666666667
4500,2.5775916666666667,2.5776166666666667,2.6688
5100,2.389525,2.3895916666666666,2.621175
5700,2.1886916666666667,2.1886916666666667,2.3261666666666665
