Delta (ms),Sorting time (s),Server response time (s),Client response time (s)
300,1.6408399999999999,20.546860000000002,20.550099999999997
600,1.6098800000000002,9.82141,9.82382
900,1.60376,28.044310000000003,28.04681
1200,1.6176700000000002,17.864459999999998,17.8675
1500,1.58028,5.1704799999999995,5.227729999999999
1800,1.6068,16.74483,16.75173
2100,1.63604,3.21529,3.2189
2400,1.56038,5.077,5.07912
2700,1.55161,21.95537,22.218
3000,1.48084,8.08507,8.08661
3300,1.40883,3.61148,3.73219
3600,1.38053,2.20918,2.3460199999999998
3900,1.50145,7.63797,7.72448
4200,1.47073,2.93035,4.33492
4500,1.4654200000000002,3.9966399999999997,4.25015
4800,1.49708,8.13372,10.25234
5100,1.57937,18.74671,19.61691
5400,1.47219,12.24456,13.81112
5700,1.5139500000000001,8.987440000000001,11.294360000000001
6000,1.4856500000000001,132.78775,146.03574
