Delta (ms),Sorting time (s),Server response time (s),Client response time (s)
300,1.807125,3.987975,4.078341666666667
900,1.8720166666666667,3.6160083333333333,3.7030666666666665
1500,1.9187583333333333,3.2314416666666665,3.3142916666666666
2100,1.9218,2.7771500000000002,2.851875
2700,1.7959416666666665,2.2586833333333334,2.3350833333333334
3300,1.6628416666666668,2.033158333333333,2.103775
3900,1.5251333333333335,1.8411166666666665,1.94525
4500,1.430425,1.731325,1.843325
5100,1.5603416666666667,1.9084416666666666,2.041725
5700,1.624075,1.9781666666666669,2.05365
